Need help please,commonQ.assist,Kailangan ng tulong kung maaari,general.assist
Need help,commonQ.assist,Kailangan ng tulong,general.assist
I need some info,commonQ.assist,Kailangan ko ng ilang impormasyon,general.assist
Will you help me?,commonQ.assist,Maaari niyo ba akong tulungan?,general.assist
What else can you do?,commonQ.assist,Ano pa ang maaari mong gawin?,general.query
What do you do?,commonQ.assist,Ano ang ginagawa mo?,general.query
What can you help me with?,commonQ.assist,Ano ang matutulungan mo sa akin?,general.query
What can you do?,commonQ.assist,Anong pwede mong gawin?,general.query
What are you good at?,commonQ.assist,Ano ang mabuti sa iyo?,general.query
Need help plz,commonQ.assist,Kailangan ng tulong plz.,general.assist
How can you help me,commonQ.assist,Paano mo ako matutulungan,general.query
Can you help me?,commonQ.assist,Matutulungan mo ba ako?,general.query
How can you assist?,commonQ.assist,Paano mo ako matutulungan?,general.query
How can you help me?,commonQ.assist,Paano mo ako matutulungan?,general.query
How do you help?,commonQ.assist,Paano ka tumutulong?,general.query
How to help you?,commonQ.assist,Paano kita matutulungan?,general.query
How will you assist me?,commonQ.assist,Paano mo matutulungan ako?,general.assist
i need help,commonQ.assist,kailangan ko ng tulong,general.assist
Can you tell some info,commonQ.assist,Maaari mo bang sabihin sa ilang impormasyon,general.query
Help me please,commonQ.assist,Tuliungan mo ako kung maaari,general.assist
Is this a bot?,commonQ.bot,Ito ba ay isang bot?,general.query
Is there a bot chatting to me?,commonQ.bot,Mayroon bang bot na nakikipag-chat sa akin?,general.query
Is it automated message?,commonQ.bot,Ito ba ay automated na mensahe?,general.query
Computer based pely,commonQ.bot,Computer based na Pely.,general.comment
Bot or human?,commonQ.bot,Bot o tao?,general.query
Bot is chatting with me?,commonQ.bot,Bot ba ang nakikipag-chat sa akin?,general.query
Are you system generated message?,commonQ.bot,Ito ba ay isang system generated na mensahe?,general.query
Are you robot?,commonQ.bot,Ikaw ba ay isang robot?,general.query
Are you machine?,commonQ.bot,Ikaw ba ay isang machine?,general.query
Are you just computer?,commonQ.bot,Ikaw ba ay isa lamang computer?,general.query
Are you a robot?,commonQ.bot,Ikaw ba ay isang robot?,general.query
Are you a person?,commonQ.bot,Ikaw ba ay isang tao?,general.query
Are you a machine?,commonQ.bot,Ikaw ba ay isang makina?,general.query
Are you a chatbot?,commonQ.bot,Ikaw ba ay isang chatbot?,general.query
Are you a bot?,commonQ.bot,Ikaw ba ay isang bot?,general.query
Are these automated messages?,commonQ.bot,Ang mga ito ba ay automated na mensahe?,general.query
Am I talking to a bot?,commonQ.bot,Nakikipag-usap ba ako sa isang bot?,general.query
You are a boy are girl?,commonQ.bot,Ikaw ba ay lalaki o babae?,general.query
You are a bot or human?,commonQ.bot,Ikaw ba ay isang bot o tao?,general.query
This is a machine?,commonQ.bot,Ito ba ay isang machine?,general.query
This is a chatbot?,commonQ.bot,Ito ba ay isang chatbot?,general.query
System generated reply,commonQ.bot,Nabuo ang Sistema ng Sistema,general.comment
Sir you system generated,commonQ.bot,Ginawa mo ang SIR system.,general.query
Is this computer based response,commonQ.bot,Ang tugon na ito ba ay computer based?,general.query
Is this a machine?,commonQ.bot,Ito ba ay isang makina?,general.query
Are you a human?,commonQ.bot,Tao ka ba?,general.query
Hows life?,commonQ.how,Hows Life?,general.query
How was your day?,commonQ.how,Kamusta ang araw mo?,general.query
How you doin?,commonQ.how,Kumusta ka?,general.query
Whats up?,commonQ.how,Ano ang up?,general.query
What's happening?,commonQ.how,Anong nangyayari?,general.query
Kya chal raha?,commonQ.how,Kya Chal Raha?,general.query
Wassup?,commonQ.how,Wassup?,general.query
How you doing?,commonQ.how,Kumusta ka?,general.query
Are you fine?,commonQ.how,Ayos ka lang ba?,general.query
Are you good?,commonQ.how,Ikaw ba ay nasa mabuting kalagayan?,general.query
How are you?,commonQ.how,Kumusta ka?,general.query
How are you doing?,commonQ.how,Kumusta ka?,general.query
Only providing my number,commonQ.just_details,Tanging ibibigay ang aking numero,general.comment
